id_municipio,id_municipio_nome,sigla_uf,populacao,area,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,razao_sexo
1400704,Uiramutã,RR,13695,8114,0.87529,5.4,15,105.76
1200435,Santa Rosa do Purus,AC,6717,6156,0.77397,7.68,17,103.73
1400407,Normandia,RR,13893,6960,0.91823,8.23,17,106.53
1200328,Jordão,AC,9201,5357,0.81876,6.55,18,107.1
1303908,São Paulo de Olivença,AM,32931,19659,0.85195,11.12,19,105.88
1302306,Jutaí,AM,24981,69457,0.84097,9.52,19,106.14
1504505,Melgaço,PA,27714,6774,0.80117,9.25,19,109.43
1501105,Bagre,PA,31715,4397,0.82553,8.67,19,103.93
1400027,Amajari,RR,13715,28473,0.68174,11.29,19,110
1200393,Porto Walter,AC,10735,6446,0.81098,9.98,20,110.37
1200351,Marechal Thaumaturgo,AC,17093,8191,0.77175,10.13,20,110.25
1300201,Atalaia do Norte,AM,15195,76508,0.77182,10.91,20,106.25
1304237,Tonantins,AM,19232,6447,0.86882,11.21,20,107.16
1302801,Maraã,AM,15388,16831,0.84341,9.3,20,109.71
1302108,Japurá,AM,8767,55827,0.87628,8.93,20,112.37
1303700,Santo Antônio do Içá,AM,28142,12366,0.85631,11.35,20,104.07
1301951,Itamarati,AM,10910,25260,0.73564,10.81,20,107.06
1503754,Jacareacanga,PA,23845,53305,0.88787,9.47,20,109.39
1400050,Alto Alegre,RR,21028,25454,0.63186,13.09,20,108.46
1300631,Beruri,AM,20671,17473,0.82987,13.3,21,108.77
1304260,Uarini,AM,14261,10275,0.88073,11.94,21,112.6
1301803,Ipixuna,AM,24038,12110,0.75843,9.79,21,104.16
1300607,Benjamin Constant,AM,37538,8705,0.87298,13.98,21,102.71
1300029,Alvarães,AM,15828,5923,0.87633,13.09,21,107.94
1300060,Amaturá,AM,10812,4754,0.85128,13.02,21,105.41
1303601,Santa Isabel do Rio Negro,AM,14099,62800,0.84104,13.91,21,105.99
1500701,Anajás,PA,27905,6914,0.77419,11.77,21,107.44
1400456,Pacaraima,RR,17365,8025,0.9423,9.52,21,104.68
1400159,Bonfim,RR,13855,8080,0.91309,15.04,21,108.18
1200609,Tarauacá,AC,42871,20169,0.78507,14.67,22,110.33
1303502,Pauini,AM,19304,41625,0.75884,13.28,22,113.29
1302900,Maués,AM,60966,39991,0.93837,17.25,22,109.88
1300508,Barreirinha,AM,30872,5752,0.93965,16.84,22,109.22
1301605,Fonte Boa,AM,25732,12155,0.86069,14.88,22,106.67
1303809,São Gabriel da Cachoeira,AM,51258,109193,0.90595,16.1,22,104.23
1300409,Barcelos,AM,18697,122461,0.78713,15.3,22,109.59
1302207,Juruá,AM,10729,19443,0.7936,13.81,22,107.74
1301407,Eirunepé,AM,33061,14966,0.74719,16.01,22,102.89
