"model";"AIC";"BIC";"AICc";"RMSE"
"ARIMA(1,2,1)(1,1,0)_12";1607.14522901873;1617.4026217846;1607.58478945829;886.39798018569
"ARIMA(0,2,2)(1,1,0)_12";1607.27826433262;1617.53565709849;1607.71782477218;885.964952070911
"ARIMA(1,2,1)(0,1,1)_12";1608.80918466155;1619.06657742743;1609.24874510111;896.564937415964
"ARIMA(0,2,2)(0,1,1)_12";1608.96746747058;1619.22486023645;1609.40702791014;895.939451576963
"ARIMA(2,2,1)(1,1,0)_12";1609.02286124733;1621.84460220467;1609.689527914;885.293925046946
"ARIMA(1,2,2)(1,1,0)_12";1609.07002146745;1621.89176242479;1609.73668813412;885.659293005042
"ARIMA(1,2,1)(1,1,1)_12";1609.10575180262;1621.92749275996;1609.77241846928;886.121788895315
"ARIMA(0,2,2)(1,1,1)_12";1609.1877593368;1622.00950029413;1609.85442600346;885.30925667064
"ARIMA(0,2,1)(1,1,0)_12";1610.40186663053;1618.09491120493;1610.66273619574;912.56752164141
"ARIMA(2,2,1)(0,1,1)_12";1610.57915862312;1623.40089958046;1611.24582528979;894.383315270233
"ARIMA(1,2,2)(0,1,1)_12";1610.68189710087;1623.50363805821;1611.34856376754;895.216261822581
"ARIMA(2,2,1)(1,1,1)_12";1610.93399993471;1626.32008908351;1611.87782015942;884.581108754592
"ARIMA(2,2,2)(1,1,0)_12";1610.94567388527;1626.33176303408;1611.88949410999;885.08522027337
"ARIMA(1,2,2)(1,1,1)_12";1611.00082723568;1626.38691638448;1611.9446474604;885.096119494045
"ARIMA(0,2,1)(1,1,1)_12";1612.35844608204;1622.61583884791;1612.7980065216;912.352681481219
"ARIMA(0,2,1)(0,1,1)_12";1612.52961015855;1620.22265473295;1612.79047972376;927.748797456327
"ARIMA(2,2,2)(1,1,1)_12";1612.86086127297;1630.81129861324;1614.13358854569;884.426214698049
"ARIMA(1,2,1)(0,1,0)_12";1616.95911502879;1624.65215960319;1617.219984594;959.448040324867
"ARIMA(0,2,1)(0,1,0)_12";1617.24540208552;1622.37409846846;1617.37443434359;969.650354795269
"ARIMA(0,2,2)(0,1,0)_12";1617.61844104162;1625.31148561603;1617.87931060684;962.191275309497
"ARIMA(2,2,1)(0,1,0)_12";1617.88807752839;1628.14547029426;1618.32763796795;952.729164864569
"ARIMA(2,2,2)(0,1,0)_12";1618.21713036912;1631.03887132646;1618.88379703578;944.590213238084
"ARIMA(1,2,2)(0,1,0)_12";1618.71829053076;1628.97568329663;1619.15785097032;957.512781537854
"ARIMA(2,2,0)(1,1,0)_12";1619.69491028045;1629.95230304632;1620.13447072001;957.5356387393
"ARIMA(2,2,0)(0,1,1)_12";1619.70676028909;1629.96415305496;1620.14632072865;956.535186204039
"ARIMA(2,2,0)(1,1,1)_12";1621.51400558242;1634.33574653976;1622.18067224908;955.586605589974
"ARIMA(2,2,0)(0,1,0)_12";1622.71323808783;1630.40628266223;1622.97410765305;991.426511999156
"ARIMA(2,1,1)(0,1,0)_12";1627.08605243286;1637.38489634688;1627.52083504156;953.614580017025
"ARIMA(1,1,2)(0,1,0)_12";1627.33213583971;1637.63097975372;1627.7669184484;955.044599252119
"ARIMA(2,1,2)(0,1,0)_12";1628.90209696227;1641.77565185478;1629.56143762161;952.781090733597
"ARIMA(2,1,0)(0,1,0)_12";1635.15856644507;1642.88269938059;1635.4166309612;1006.16303801482
"ARIMA(1,2,0)(1,1,0)_12";1636.18821964888;1643.88126422328;1636.44908921409;1057.35333725431
"ARIMA(2,1,0)(1,1,0)_12";1636.44300021998;1646.74184413399;1636.87778282867;1000.52900584353
"ARIMA(2,1,0)(1,1,1)_12";1636.63897516167;1649.51253005418;1637.29831582101;964.275687512539
"ARIMA(2,1,0)(0,1,1)_12";1636.70740745488;1647.00625136889;1637.14219006357;1002.95067364074
"ARIMA(1,2,0)(0,1,1)_12";1636.71499240399;1644.40803697839;1636.9758619692;1061.85787048051
"ARIMA(1,2,0)(0,1,0)_12";1637.61814396986;1642.74684035279;1637.74717622792;1084.63029712712
