model;AIC;BIC;AICc;RMSE
ARIMA(1,1,1)(1,1,1)_12;995.5889788;1006.902378;996.5120557;195.8402673
ARIMA(2,2,1)(0,1,1)_12;988.0780564;999.3205326;989.0155564;207.9462888
ARIMA(1,2,0)(0,1,1)_12;984.6911703;991.4366561;985.0548067;209.7719116
ARIMA(1,1,1)(0,1,1)_12;993.4272007;1002.47792;994.0332613;210.5673891
ARIMA(1,1,2)(0,1,1)_12;995.4256782;1006.739078;996.3487551;210.5693718
ARIMA(2,1,1)(0,1,1)_12;995.3485257;1006.661925;996.2716026;210.5977198
ARIMA(2,2,2)(0,1,1)_12;989.4045539;1002.895525;990.7378872;210.7464324
ARIMA(2,1,0)(0,1,1)_12;993.3821465;1002.432866;993.9882071;211.095193
ARIMA(2,0,1)(0,0,0)_12;1149.865957;1162.020041;1150.635188;211.2926893
ARIMA(2,0,1)(1,0,0)_12;1162.054392;1176.639293;1163.145301;212.2785037
ARIMA(2,1,2)(1,0,1)_12;1142.727764;1159.659649;1144.221098;212.4894628
ARIMA(2,1,2)(0,1,1)_12;996.9435006;1010.51958;998.2560006;212.664802
ARIMA(2,1,2)(1,0,0)_12;1140.920602;1155.433646;1142.025866;212.8263325
ARIMA(1,1,2)(1,1,1)_12;997.3558518;1010.931931;998.6683518;212.8675604
ARIMA(2,2,2)(1,0,1)_12;1128.106949;1144.953983;1129.620462;212.8873728
ARIMA(2,1,2)(0,0,1)_12;1140.97599;1155.489034;1142.081253;212.9137583
ARIMA(2,1,0)(1,1,1)_12;995.3330146;1006.646414;996.2560915;212.9240896
ARIMA(1,2,2)(0,1,1)_12;988.297849;999.5403252;989.235349;212.9282642
ARIMA(2,1,1)(1,1,1)_12;997.2808311;1010.85691;998.5933311;212.9340697
ARIMA(2,2,2)(1,0,0)_12;1126.233457;1140.673772;1127.353457;213.0979436
ARIMA(2,2,1)(1,0,1)_12;1126.219143;1140.659458;1127.339143;213.1142665
ARIMA(2,1,2)(1,1,1)_12;998.9379792;1014.776738;1000.715757;213.1229439
ARIMA(2,1,1)(1,0,1)_12;1141.208986;1155.722029;1142.314249;213.1555519
ARIMA(1,1,2)(1,0,1)_12;1141.222395;1155.735439;1142.327658;213.1882156
ARIMA(1,1,1)(1,0,1)_12;1139.239693;1151.333896;1140.018914;213.2017716
ARIMA(2,2,2)(0,0,1)_12;1126.303478;1140.743794;1127.423478;213.2243086
ARIMA(1,2,2)(1,0,1)_12;1126.313115;1140.753431;1127.433115;213.258619
ARIMA(2,2,1)(1,0,0)_12;1124.3252;1136.358796;1125.114674;213.2910882
ARIMA(2,2,1)(0,0,1)_12;1124.362865;1136.396461;1125.152339;213.35385
ARIMA(0,2,2)(0,1,1)_12;986.7027692;995.6967502;987.3181538;213.3847987
ARIMA(2,1,2)(0,0,0)_12;1139.342348;1151.436551;1140.121568;213.4162282
ARIMA(2,1,1)(1,0,0)_12;1139.355719;1151.449922;1140.13494;213.4275522
ARIMA(1,2,2)(1,0,0)_12;1124.420134;1136.45373;1125.209608;213.4353369
ARIMA(1,1,2)(1,0,0)_12;1139.369171;1151.463374;1140.148392;213.4464596
ARIMA(0,2,1)(0,1,1)_12;984.7218705;991.4673562;985.0855068;213.4568905
ARIMA(1,1,1)(1,0,0)_12;1137.387412;1147.062775;1137.900233;213.4672683
ARIMA(2,1,0)(1,0,1)_12;1139.503135;1151.597338;1140.282356;213.4851206
ARIMA(1,2,2)(0,0,1)_12;1124.449838;1136.483435;1125.239312;213.4855103
ARIMA(2,1,1)(0,0,1)_12;1139.400896;1151.495099;1140.180116;213.5018386
ARIMA(1,1,2)(0,0,1)_12;1139.413343;1151.507546;1140.192564;213.5191801
ARIMA(1,1,1)(0,0,1)_12;1137.432678;1147.10804;1137.945498;213.5416161
ARIMA(1,2,1)(1,0,1)_12;1124.5934;1136.626996;1125.382874;213.6485763
ARIMA(1,2,1)(0,1,1)_12;986.5397294;995.5337103;987.155114;213.7113002
ARIMA(0,2,2)(1,0,1)_12;1124.660444;1136.69404;1125.449917;213.75568
ARIMA(2,2,2)(0,0,0)_12;1124.669761;1136.703357;1125.459235;213.8128239
ARIMA(1,2,1)(1,0,0)_12;1122.689839;1132.316716;1123.209319;213.8137559
ARIMA(2,2,1)(0,0,0)_12;1122.675343;1132.30222;1123.194824;213.8192098
ARIMA(2,1,0)(1,0,0)_12;1137.703975;1147.379338;1138.216796;213.8383633
ARIMA(1,2,2)(0,0,0)_12;1122.695287;1132.322164;1123.214767;213.848842
ARIMA(1,2,1)(0,0,1)_12;1122.71156;1132.338437;1123.23104;213.850905
ARIMA(0,2,1)(1,0,1)_12;1122.739634;1132.366511;1123.259115;213.8653213
